Finding ID,CBOM Record ID,Mission Thread ID,Discovery Date,Discovery Method,Tool / Capability,Coverage Domain,Asset / Endpoint,Internet or Internal,Observed Crypto Artifact,Algorithm / Protocol,Library / Package,Container Image / Digest,SBOM Reference,Evidence Location,Finding Confidence,Authoritative Record Matched?,Validation Status,Blind Spot / Limitation,False Positive?,Remediation Required?,Assigned Owner,Next Validation Date,Source / Notes
FIND-00033,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/b8d25de6.0,Internal,PEM certificate in /etc/ssl/certs/b8d25de6.0,RSA,,,,sha256:3f63bb2814be174ec8b6439cf08d6d56f0b7c405883a5648a334424d6b3ec558,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00034,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/1e08bfd1.0,Internal,PEM certificate in /etc/ssl/certs/1e08bfd1.0,RSA,,,,sha256:30d0895a9a448a262091635522d1f52010b5867acae12c78ef958fd4f4389f2f,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00035,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/fe8a2cd8.0,Internal,PEM certificate in /etc/ssl/certs/fe8a2cd8.0,RSA,,,,sha256:a1339d33281a0b56e557d3d32b1ce7f9367eb094bd5fa72a7e5004c8ded7cafe,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00036,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/607986c7.0,Internal,PEM certificate in /etc/ssl/certs/607986c7.0,RSA,,,,sha256:cb3ccbb76031e5e0138f8dd39a23f9de47ffc35e43c1144cea27d46a5ab1cb5f,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00037,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/DigiCert_TLS_RSA4096_Root_G5.pem,Internal,PEM certificate in /etc/ssl/certs/DigiCert_TLS_RSA4096_Root_G5.pem,RSA,,,,sha256:371a00dc0533b3721a7eeb40e8419e70799d2b0a0f2c1d80693165f7cec4ad75,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00038,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/1d3472b9.0,Internal,PEM certificate in /etc/ssl/certs/1d3472b9.0,EC (ECDSA/ECDH),,,,sha256:179fbc148a3dd00fd24ea13458cc43bfa7f59c8182d783a513f6ebec100c8924,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00039,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/SSL.com_EV_Root_Certification_Authority_RSA_R2.pem,Internal,PEM certificate in /etc/ssl/certs/SSL.com_EV_Root_Certification_Authority_RSA_R2.pem,RSA,,,,sha256:2e7bf16cc22485a7bbe2aa8696750761b0ae39be3b2fe9d0cc6d4ef73491425c,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00040,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/7a780d93.0,Internal,PEM certificate in /etc/ssl/certs/7a780d93.0,RSA,,,,sha256:77b82cd8644c4305f7acc5cb156b45675004033d51c60c6202a8e0c33467d3a0,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00041,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/988a38cb.0,Internal,PEM certificate in /etc/ssl/certs/988a38cb.0,RSA,,,,sha256:6c61dac3a2def031506be036d2a6fe401994fbd13df9c8d466599274c446ec98,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00042,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/8160b96c.0,Internal,PEM certificate in /etc/ssl/certs/8160b96c.0,RSA,,,,sha256:3c5f81fea5fab82c64bfa2eaecafcde8e077fc8620a7cae537163df36edbf378,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00043,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/Hellenic_Academic_and_Research_Institutions_RootCA_2015.pem,Internal,PEM certificate in /etc/ssl/certs/Hellenic_Academic_and_Research_Institutions_RootCA_2015.pem,RSA,,,,sha256:a040929a02ce53b4acf4f2ffc6981ce4496f755e6d45fe0b2a692bcd52523f36,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00044,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/3fb36b73.0,Internal,PEM certificate in /etc/ssl/certs/3fb36b73.0,RSA,,,,sha256:88f438dcf8ffd1fa8f429115ffe5f82ae1e06e0c70c375faad717b34a49e7265,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00045,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/0a775a30.0,Internal,PEM certificate in /etc/ssl/certs/0a775a30.0,EC (ECDSA/ECDH),,,,sha256:34d8a73ee208d9bcdb0d956520934b4e40e69482596e8b6f73c8426b010a6f48,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00046,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/TunTrust_Root_CA.pem,Internal,PEM certificate in /etc/ssl/certs/TunTrust_Root_CA.pem,RSA,,,,sha256:2e44102ab58cb85419451c8e19d9acf3662cafbc614b6a53960a30f7d0e2eb41,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00047,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/e35234b1.0,Internal,PEM certificate in /etc/ssl/certs/e35234b1.0,RSA,,,,sha256:fe7696573855773e37a95e7ad4d9cc96c30157c15d31765ba9b15704e1ae78fd,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00048,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/4b718d9b.0,Internal,PEM certificate in /etc/ssl/certs/4b718d9b.0,EC (ECDSA/ECDH),,,,sha256:bc4d809b15189d78db3e1d8cf4f9726a795da1643ca5f1358e1ddb0edc0d7eb3,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
